Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_04:32:33.349068,213.906527,18.965141,214.240121841,19.0574359894
2026-04-24_04:32:33.849647,213.906539,18.965078,214.240036011,19.0575008392
2026-04-24_04:32:37.354857,213.906992,18.964806,214.239907265,19.0575199127
2026-04-24_04:32:40.359298,213.906978,18.965169,214.240193367,19.0574302673
2026-04-24_04:32:43.363707,213.906559,18.965099,214.239792824,19.0575828552
2026-04-24_04:32:49.372712,213.906476,18.9653,214.240393639,19.057390213
2026-04-24_04:32:49.873563,213.907144,18.964912,214.239993095,19.0575447083
2026-04-24_04:32:58.386042,213.906671,18.965498,214.240293503,19.0574359894
2026-04-24_04:32:58.886774,213.906772,18.965517,214.239993095,19.0575675964
2026-04-24_04:33:08.401049,213.906931,18.965573,214.240078926,19.0573787689
2026-04-24_04:33:08.901588,213.906559,18.965748,214.240164757,19.0573978424
2026-04-24_04:33:19.917886,213.906273,18.966155,214.240264893,19.0573558807
2026-04-24_04:33:20.418633,213.906917,18.965628,214.240708351,19.0571269989
2026-04-24_04:33:31.935743,213.906854,18.966226,214.240365028,19.0573348999
2026-04-24_04:33:32.436564,213.906732,18.96586,214.239878654,19.0575504303
2026-04-24_04:33:45.455796,213.906504,18.966506,214.240522385,19.0572528839
2026-04-24_04:33:45.956467,213.907177,18.966137,214.240078926,19.0574226379
2026-04-24_04:33:59.476537,213.906774,18.966656,214.240522385,19.0571994781
2026-04-24_04:33:59.977260,213.907023,18.966585,214.239807129,19.0576934814
2026-04-24_04:34:14.999540,213.906171,18.966847,214.239864349,19.0575370789
2026-04-24_04:34:15.500278,213.906527,18.966733,214.240293503,19.0572681427
2026-04-24_04:34:31.023288,213.906532,18.966987,214.239549637,19.0576038361
2026-04-24_04:34:31.524013,213.906545,18.967066,214.240365028,19.0573863983
2026-04-24_04:34:48.048464,213.90714,18.966766,214.24053669,19.0571460724
2026-04-24_04:34:48.549252,213.906929,18.966951,214.239935875,19.0576171875
2026-04-24_04:35:06.075187,213.906143,18.967167,214.240436554,19.057258606
2026-04-24_04:35:06.575954,213.907018,18.966664,214.240608215,19.0571994781
2026-04-24_04:35:25.604144,213.906666,18.967195,214.239850044,19.0575122833
2026-04-24_04:35:26.104840,213.906408,18.967305,214.239478111,19.0577354431
2026-04-24_04:35:46.134548,213.906923,18.967245,214.23995018,19.0574302673
2026-04-24_04:35:46.635340,213.906396,18.967563,214.239549637,19.0576019287
2026-04-24_04:36:07.165683,213.906601,18.967363,214.239664078,19.0577487946
2026-04-24_04:36:07.666514,213.906193,18.967717,214.239535332,19.0577449799
2026-04-24_04:36:29.699114,213.906651,18.96782,214.24050808,19.0571784973
2026-04-24_04:36:30.199886,213.906898,18.967653,214.240136147,19.0574207306
2026-04-24_04:36:52.733290,213.906576,18.9678,214.240736961,19.0571918488
2026-04-24_04:36:53.234019,213.90707,18.967741,214.240350723,19.0572223663
2026-04-24_04:37:17.269620,213.90582,18.96799,214.240150452,19.0574760437
2026-04-24_04:37:17.770413,213.906321,18.967962,214.23995018,19.0575771332
2026-04-24_04:37:42.306763,213.905846,18.968253,214.240136147,19.0574264526
2026-04-24_04:37:42.807510,213.906214,18.967928,214.239907265,19.0575027466
2026-04-24_04:38:08.846057,213.906046,18.968057,214.24053669,19.057258606
2026-04-24_04:38:09.346827,213.906281,18.967841,214.239621162,19.0575408936
2026-04-24_04:38:35.886144,213.906099,18.967844,214.239993095,19.0574798584
